dataset,method,series,origin,weighted_quantile_loss,coverage_80,normalized_width_80
m4_weekly,chronos,4,309,0.391490659958277,1.0,2.234375
m4_weekly,chronos,4,313,0.2902174313863118,1.0,2.1826923076923075
m4_weekly,chronos,4,317,0.16307675532805613,1.0,1.6526442307692308
m4_weekly,chronos,4,320,0.15777178544264572,0.9230769230769231,1.6310096153846154
m4_weekly,chronos,4,324,0.16331412486540967,0.8461538461538461,1.3245192307692308
m4_weekly,chronos,5,1260,0.3625929147769243,0.23076923076923078,1.03125
m4_weekly,chronos,5,1282,0.28055028915405283,0.6153846153846154,1.0264423076923077
m4_weekly,chronos,5,1303,0.18679621036236102,0.15384615384615385,0.7788461538461539
m4_weekly,chronos,5,1325,0.19686413544874923,0.07692307692307693,0.28365384615384615
m4_weekly,chronos,5,1347,0.0442394916827862,1.0,0.47596153846153844
m4_weekly,chronos,5,1369,0.12905853711641752,0.3076923076923077,0.1971153846153846
m4_weekly,chronos,5,1390,0.08339765988863432,1.0,0.6153846153846154
m4_weekly,chronos,5,1412,0.16921172997890374,0.38461538461538464,0.7211538461538461
m4_weekly,chronos,6,1745,0.13798899039244045,1.0,1.1009615384615385
m4_weekly,chronos,6,1776,0.09319428174923626,1.0,0.9903846153846154
m4_weekly,chronos,6,1807,0.8288818017030374,0.23076923076923078,0.8413461538461539
m4_weekly,chronos,6,1838,0.14555712479811447,1.0,1.3605769230769231
m4_weekly,chronos,6,1868,1.0935222674638798,0.07692307692307693,0.6730769230769231
m4_weekly,chronos,6,1899,0.14010595174936147,0.7692307692307693,0.7403846153846154
m4_weekly,chronos,6,1930,0.19141162970127198,0.5384615384615384,0.4326923076923077
m4_weekly,chronos,6,1961,0.09626956352820762,1.0,1.2067307692307692
m4_weekly,chronos,7,1745,0.047170264904315654,1.0,0.4254807692307692
m4_weekly,chronos,7,1776,0.038123010977720605,0.9230769230769231,0.23076923076923078
m4_weekly,chronos,7,1807,0.15428430850689226,0.3076923076923077,0.21875
m4_weekly,chronos,7,1838,0.03503344364655323,0.9230769230769231,0.25
m4_weekly,chronos,7,1868,0.3801963561620468,0.0,0.4375
m4_weekly,chronos,7,1899,0.26334663293300525,0.23076923076923078,0.31009615384615385
m4_weekly,chronos,7,1930,0.0711610305003631,1.0,0.6057692307692307
m4_weekly,chronos,7,1961,0.15047519145867766,0.9230769230769231,0.7163461538461539
m4_weekly,chronos,8,1666,0.31772075230972124,0.9230769230769231,2.073016826923077
m4_weekly,chronos,8,1695,0.28582868455694277,0.7692307692307693,1.5765662560096154
m4_weekly,chronos,8,1725,0.24904058212653182,1.0,1.7815504807692308
m4_weekly,chronos,8,1754,0.5873584184891139,0.6923076923076923,1.3828876201923077
m4_weekly,chronos,8,1783,0.4292210322159987,1.0,4.274038461538462
m4_weekly,chronos,8,1812,0.3005666048098833,0.7692307692307693,1.7235576923076923
m4_weekly,chronos,8,1842,0.3104150894360665,1.0,2.066105769230769
m4_weekly,chronos,8,1871,0.6131391696440867,0.6923076923076923,2.4146634615384617
m4_weekly,chronos,9,298,0.055737046706370814,0.3076923076923077,0.14783653846153846
m4_weekly,chronos,9,302,0.061606361927130295,0.6923076923076923,0.19290865384615385
m4_weekly,chronos,9,305,0.08405050130990836,0.46153846153846156,0.18209134615384615
m4_weekly,chronos,9,309,0.09911795579470122,0.6153846153846154,0.2686298076923077
m4_weekly,chronos,9,313,0.13144054626807183,0.3076923076923077,0.2824519230769231
m4_weekly,chronos,9,317,0.09835139513015746,0.6923076923076923,0.3566706730769231
