dataset,method,series,origin,weighted_quantile_loss,coverage_80,normalized_width_80
m4_hourly,chronos,14,880,0.10985541150180829,0.875,0.8094075520833334
m4_hourly,chronos,14,894,0.11424251850694417,0.9791666666666666,0.8613637288411459
m4_hourly,chronos,14,907,0.2731108807544741,0.6666666666666666,0.623081644376119
m4_hourly,chronos,14,920,0.45116286919122417,0.5833333333333334,0.641442616780599
m4_hourly,chronos,14,933,0.6100270677076576,0.375,0.587158203125
m4_hourly,chronos,14,947,0.45790642041797075,0.625,0.7651036580403646
m4_hourly,chronos,14,960,0.351779926666576,0.75,1.4782854715983074
m4_hourly,chronos,15,867,0.029994884345473514,0.8125,0.15886433919270834
m4_hourly,chronos,15,880,0.024715585877291033,0.9583333333333334,0.15590413411458334
m4_hourly,chronos,15,894,0.04017280143582159,0.6041666666666666,0.13616434733072916
m4_hourly,chronos,15,907,0.036279890406876805,0.7291666666666666,0.16740036010742188
m4_hourly,chronos,15,920,0.03414003413377537,0.6875,0.1515655517578125
m4_hourly,chronos,15,933,0.026561835925612183,0.7916666666666666,0.16292826334635416
m4_hourly,chronos,15,947,0.024346861025939387,0.875,0.15266863505045572
m4_hourly,chronos,15,960,0.029408030905243424,0.8125,0.14849472045898438
m4_hourly,chronos,16,867,0.25408009992291525,0.7708333333333334,0.86374298731486
m4_hourly,chronos,16,880,0.3305849803094235,0.6041666666666666,0.8945287068684896
m4_hourly,chronos,16,894,0.3838614503904763,0.5625,0.9734020233154297
m4_hourly,chronos,16,907,0.15459475784252089,1.0,1.2705955505371094
m4_hourly,chronos,16,920,0.19269553230971923,0.8958333333333334,1.364488124847412
m4_hourly,chronos,16,933,0.17277432354684505,0.9583333333333334,1.2165546417236328
m4_hourly,chronos,16,947,0.178770328933994,0.8958333333333334,1.0618518193562825
m4_hourly,chronos,16,960,0.11258325450018875,0.9583333333333334,1.0527931054433186
m4_hourly,chronos,17,867,0.024826786648999486,0.7708333333333334,0.1284011205037435
m4_hourly,chronos,17,880,0.02257942990141196,0.8125,0.16618792215983072
m4_hourly,chronos,17,894,0.021460077286853143,0.7083333333333334,0.1289825439453125
m4_hourly,chronos,17,907,0.018624485849351106,0.875,0.15138371785481772
m4_hourly,chronos,17,920,0.019637394884032093,0.8541666666666666,0.1462682088216146
m4_hourly,chronos,17,933,0.022339801532992472,0.8958333333333334,0.1686884562174479
m4_hourly,chronos,17,947,0.02250137571892184,0.8541666666666666,0.1380462646484375
m4_hourly,chronos,17,960,0.025626733170874005,0.7291666666666666,0.1359710693359375
m4_hourly,chronos,18,867,0.0642114151075172,0.8958333333333334,0.42451222737630206
m4_hourly,chronos,18,880,0.05732935048355203,0.9583333333333334,0.38964207967122394
m4_hourly,chronos,18,894,0.05603566902508545,0.8958333333333334,0.3933359781901042
m4_hourly,chronos,18,907,0.05580061020251984,0.9375,0.41942596435546875
m4_hourly,chronos,18,920,0.057464461680501705,0.9375,0.4435623089472453
m4_hourly,chronos,18,933,0.06117706776907047,0.9166666666666666,0.4027303059895833
m4_hourly,chronos,18,947,0.05308680132341882,0.9375,0.3778978983561198
m4_hourly,chronos,18,960,0.05675680054248206,0.9166666666666666,0.4058113098144531
m4_hourly,chronos,19,867,0.695435946688263,0.375,0.6011174519856771
m4_hourly,chronos,19,880,0.8413858354453825,0.1875,0.5977153778076172
m4_hourly,chronos,19,894,0.7619856712382495,0.3333333333333333,0.7756875356038412
m4_hourly,chronos,19,907,0.8607913416318802,0.3541666666666667,1.4140644073486328
m4_hourly,chronos,19,920,0.586551686632447,0.5208333333333334,1.7936960856119792
m4_hourly,chronos,19,933,0.6541375153206496,0.4791666666666667,1.7476399739583333
m4_hourly,chronos,19,947,0.43677542693395577,0.8125,2.1665547688802085
m4_hourly,chronos,19,960,0.42473403435821333,0.8541666666666666,2.246161460876465
m4_hourly,chronos,20,644,0.24928313816069725,0.7916666666666666,1.5774943033854167
m4_hourly,chronos,20,652,0.21923075859797084,1.0,1.9605248769124348
m4_hourly,chronos,20,660,0.17801796697959718,0.9791666666666666,1.6069523493448894
m4_hourly,chronos,20,668,0.16645344229052877,0.9375,1.4857991536458333
m4_hourly,chronos,20,676,0.16857211504700695,1.0,1.7127939860026042
m4_hourly,chronos,20,684,0.17917586809748579,1.0,1.5596459706624348
m4_hourly,chronos,20,692,0.18118203452581333,0.9791666666666666,1.4295056660970051
m4_hourly,chronos,20,700,0.17602813591042324,0.9791666666666666,1.4996182123819988
m4_hourly,chronos,21,867,0.024067885904676383,0.9166666666666666,0.16142781575520834
m4_hourly,chronos,21,880,0.02044032954921325,0.9791666666666666,0.18952433268229166
m4_hourly,chronos,21,894,0.023674680603047213,0.9166666666666666,0.16241455078125
m4_hourly,chronos,21,907,0.03255444493972593,0.7291666666666666,0.15724690755208334
m4_hourly,chronos,21,920,0.040466204782327014,0.75,0.18308512369791666
m4_hourly,chronos,21,933,0.02857427464591132,0.8958333333333334,0.19612630208333334
m4_hourly,chronos,21,947,0.01951386605699857,0.9791666666666666,0.17631022135416666
m4_hourly,chronos,21,960,0.01888271818558375,0.9583333333333334,0.18599446614583334
m4_hourly,chronos,22,644,0.12841074098056804,0.9583333333333334,1.0081278483072917
m4_hourly,chronos,22,652,0.12933442298478137,0.9166666666666666,0.9225578308105469
m4_hourly,chronos,22,660,0.14402888570330108,0.8958333333333334,0.9322700500488281
m4_hourly,chronos,22,668,0.15283422668710248,0.875,0.8870595296223959
m4_hourly,chronos,22,676,0.23236493617102194,0.6666666666666666,1.0403048197428386
m4_hourly,chronos,22,684,0.1930543211799684,0.875,1.0795847574869792
m4_hourly,chronos,22,692,0.11991334703893192,1.0,0.9998092651367188
m4_hourly,chronos,22,700,0.12235285825574665,1.0,1.1035130818684895
m4_hourly,chronos,23,867,0.125923743745726,0.9166666666666666,0.792633056640625
m4_hourly,chronos,23,880,0.11704526401331855,0.875,0.7222808202107748
m4_hourly,chronos,23,894,0.11063110293147878,0.8958333333333334,0.7069040934244791
m4_hourly,chronos,23,907,0.11770100205515822,0.8958333333333334,0.7910105387369791
m4_hourly,chronos,23,920,0.1284195375525289,0.8333333333333334,0.7227255503336588
m4_hourly,chronos,23,933,0.2178721902659163,0.6458333333333334,0.7561804453531901
m4_hourly,chronos,23,947,0.21264927324761326,0.75,0.8476874033610026
m4_hourly,chronos,23,960,0.286573406346401,0.6875,0.8348070780436198
m4_weekly,chronos,0,632,0.9250444950201572,1.0,6.605769230769231
m4_weekly,chronos,0,645,0.9855513254801431,0.9230769230769231,6.831730769230769
m4_weekly,chronos,0,657,1.1264549402090218,0.6923076923076923,5.600961538461538
m4_weekly,chronos,0,670,2.209178870763534,0.7692307692307693,7.783653846153846
m4_weekly,chronos,0,683,1.1435613730014897,1.0,12.365384615384615
m4_weekly,chronos,0,696,0.9186825678898739,1.0,7.8173076923076925
m4_weekly,chronos,0,708,2.0134063427264874,0.8461538461538461,6.975961538461538
m4_weekly,chronos,0,721,3.39726625589224,1.0,23.932692307692307
m4_weekly,chronos,1,1407,0.47954927774576045,0.6923076923076923,1.7370417668269231
m4_weekly,chronos,1,1438,0.31545608288202526,1.0,3.1160606971153846
m4_weekly,chronos,1,1469,1.2843671755912978,0.07692307692307693,0.6304086538461539
m4_weekly,chronos,1,1500,0.2369753232751137,0.7692307692307693,1.462630345271184
m4_weekly,chronos,1,1530,0.6192126466677739,0.6153846153846154,2.454326923076923
m4_weekly,chronos,1,1561,0.1087752546637486,1.0,0.7616154597355769
m4_weekly,chronos,1,1592,0.1828213929652403,1.0,1.9918177678034856
m4_weekly,chronos,1,1623,0.8402617104064959,0.23076923076923078,0.6871431790865384
m4_weekly,chronos,2,1426,0.05756153693565956,1.0,0.4014423076923077
m4_weekly,chronos,2,1457,0.1547419621394231,0.5384615384615384,0.2668269230769231
m4_weekly,chronos,2,1488,0.03031269220205454,1.0,0.24759615384615385
m4_weekly,chronos,2,1519,0.15623429127228564,0.3076923076923077,0.3870192307692308
m4_weekly,chronos,2,1551,0.08085331060947515,1.0,0.5721153846153846
m4_weekly,chronos,2,1582,0.06837525000939003,1.0,0.41346153846153844
