role,method,dataset,domain,windows,series,mse,mae,rmse,mase,rmsse,smape,wape_numerator,wape_denominator,wape,patchtst_mse,relative_mse_reduction
confirmation,chronos,temperature_rain,climate,192,24,4.465805945079674,0.813919285748812,1.4105545764748664,0.9937012929855348,0.8987022193156369,1.528238465795399,31525.432200879768,41609.645,0.7576472367410707,4.469381644411449,0.0008000434100869924
confirmation,chronos,tourism_monthly,tourism,192,24,10.970270381072554,1.9990681287716952,2.5033176623941062,1.198037632784871,1.2096228154244402,0.25295827800360476,18576323.811699566,1.5730925e+08,0.11808793219645654,13.826759269397877,0.2065913517889515
confirmation,drift,bitcoin,economic,144,18,3830.3456928488813,20.490669782278484,25.407794919995244,1.9293244128898084,1.5891475912224862,0.23744505881777156,2.8395945465771265e+21,2.944461e+22,0.0964385148037993,9390.32478097645,0.5920965693743998
confirmation,drift,fred_md,macroeconomic,192,24,16.563281765199903,0.8956389234122576,1.0379510829247176,0.5774179883678695,0.5676749653111806,0.10482308872091307,18293249.553332713,2.5137315e+08,0.07277328309640925,40.255214690246945,0.5885432013554044
confirmation,drift,kdd_air,air_quality,192,24,1.7885767724200008,0.6073421320284069,0.7227601075966218,0.8541764197146536,0.8081826686495198,0.5718511247419283,96225.91756578494,237219.4,0.40564100166566763,1.1057381086564229,-0.6175410419681493
confirmation,drift,m4_hourly,competition_hourly,192,24,1.9623078599090797,1.1057213070737362,1.342325749303788,14.014744946182402,13.715140464875851,0.3200553727361221,14640264.57284475,7.485511e+07,0.1955813595315274,0.5009415711731597,-2.917239001174394
confirmation,drift,m4_weekly,competition_weekly,192,24,2.2683139287235936,0.6369356667931546,0.7526822426951466,3.172736106267063,2.7228383401279466,0.06884351084389624,625783.85632437,1.4279037e+07,0.04382535435158338,2.6003773882075536,0.12769817988336385
confirmation,drift,nn5,banking,192,24,5.326829547998093,1.7706998713078541,2.0746780068017627,3.0016517767113124,2.465484053615737,0.7338969714090449,134803.83870240932,198289.8,0.6798324514265773,0.830744318037187,-5.412116739581053
confirmation,drift,pedestrian,transport,192,24,1.407011866883269,0.7851957364769583,0.9468699134772055,3.269735753260832,2.7794945740159123,1.1073208258843619,1785087.9384986165,1.918964e+06,0.9302352407333417,0.26949376454565516,-4.220944051360068
confirmation,drift,rideshare,mobility,192,24,0.2932899595502029,0.3379389562936315,0.4184725915102219,560767.865465597,156.93857444156967,0.19226644865656994,3602.0622611384897,20529.19,0.17546052021991426,2.7234766475307595,0.8923104555289232
confirmation,drift,temperature_rain,climate,192,24,11.53375219238666,1.4811630594927718,1.9863619908084613,1.698796732721953,1.2075294034218649,1.3738834063293608,50926.44126342749,41609.645,1.2239095487869482,4.469381644411449,-1.5806147494270393
confirmation,drift,tourism_monthly,tourism,192,24,31.930224958256673,3.646255368233849,4.3340888702521525,2.7813980365931337,2.5947652915345074,0.4957078495813226,46278742.87857973,1.5730925e+08,0.294189588132668,13.826759269397877,-1.309306493020845
confirmation,insample_router,bitcoin,economic,144,18,9374.407120685693,33.388167581646925,37.51685472120181,13.866135964730951,1.7058447535918833,0.3135536538164156,4.511153637988885e+21,2.944461e+22,0.15320812523175753,9390.32478097645,0.0016951128594618892
confirmation,insample_router,fred_md,macroeconomic,192,24,39.94721000818742,1.2232799253585982,1.3534153626946062,0.6747948929544707,0.6528104687261566,0.09532850188922955,25279146.28813851,2.5137315e+08,0.100564225284244,40.255214690246945,0.007651298954173713
confirmation,insample_router,kdd_air,air_quality,192,24,1.1616011417363565,0.6565626748159856,0.7482179517738464,73.82676425510344,0.8910620872403077,0.587606517047336,126504.55467062644,237219.4,0.5332807997053421,1.1057381086564229,-0.05052103444984146
confirmation,insample_router,m4_hourly,competition_hourly,192,24,0.4527860550577362,0.4385471742948334,0.5216981176609132,2.100275156050716,1.8978340592319538,0.14950137460543708,4290652.596490254,7.485511e+07,0.057319433260486656,0.5009415711731597,0.09613000574627428
confirmation,insample_router,m4_weekly,competition_weekly,192,24,2.3916718947048525,0.6901308095775209,0.8084639390081675,3.661246495394637,3.1787586142645896,0.06467660606009383,685924.0339692439,1.4279037e+07,0.048037135415311544,2.6003773882075536,0.08025969401562993
confirmation,insample_router,nn5,banking,192,24,0.8195388257628481,0.6738615935323001,0.8861243682058505,1.1006275403047907,1.0286063425373746,0.29223675941197763,51174.38463849248,198289.8,0.2580787586905055,0.830744318037187,0.013488497039395031
